"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 12, 2019","7,098.30","7,136.86","7,145.41","7,073.87","526.35K","-0.61%"
"Feb 11, 2019","7,141.80","7,174.79","7,181.61","7,123.25","590.54K","-0.29%"
"Feb 08, 2019","7,162.85","7,187.14","7,188.24","7,131.96","755.27K","-0.02%"
"Feb 07, 2019","7,164.19","7,195.63","7,196.05","7,153.30","545.86K","-0.42%"
"Feb 06, 2019","7,194.41","7,206.52","7,206.52","7,173.94","541.33K","-0.18%"
"Feb 05, 2019","7,207.74","7,234.64","7,240.56","7,188.46","624.15K","-0.41%"
"Feb 04, 2019","7,237.33","7,245.09","7,247.72","7,218.98","637.74K","0.04%"
"Feb 01, 2019","7,234.31","7,261.78","7,266.79","7,226.72","680.83K","-0.38%"
"Jan 31, 2019","7,262.05","7,241.87","7,272.72","7,241.05","777.73K","0.25%"
"Jan 30, 2019","7,243.99","7,217.28","7,253.38","7,217.28","1.47M","0.21%"
"Jan 29, 2019","7,228.58","7,201.90","7,240.81","7,183.69","351.37K","0.38%"
"Jan 28, 2019","7,201.41","7,212.31","7,238.95","7,201.41","476.82K","-0.20%"
"Jan 25, 2019","7,215.87","7,202.30","7,230.73","7,178.04","286.09K","0.17%"
"Jan 24, 2019","7,203.35","7,250.46","7,264.02","7,203.35","535.49K","-0.68%"
"Jan 23, 2019","7,252.79","7,250.94","7,259.25","7,227.59","641.19K","0.00%"
"Jan 22, 2019","7,252.56","7,272.44","7,281.32","7,228.71","658.86K","-0.12%"
"Jan 21, 2019","7,261.27","7,263.37","7,285.96","7,232.13","539.59K","0.13%"
"Jan 18, 2019","7,251.62","7,265.15","7,287.21","7,233.99","686.55K","0.04%"
"Jan 17, 2019","7,248.50","7,241.98","7,284.76","7,241.98","606.14K","0.27%"
"Jan 16, 2019","7,229.09","7,184.98","7,229.09","7,170.66","359.58K","0.78%"
"Jan 15, 2019","7,172.97","7,184.14","7,187.87","7,158.58","507.10K","-0.24%"
"Jan 11, 2019","7,190.33","7,146.77","7,191.35","7,136.52","432.17K","0.71%"
"Jan 10, 2019","7,139.84","7,178.40","7,192.27","7,139.29","312.92K","-0.34%"
"Jan 09, 2019","7,164.11","7,202.97","7,211.18","7,150.28","664.58K","-0.59%"
"Jan 08, 2019","7,206.83","7,200.18","7,207.65","7,169.84","1.15M","0.54%"
"Jan 07, 2019","7,168.07","7,197.19","7,207.60","7,168.07","529.27K","-0.29%"
"Jan 04, 2019","7,188.87","7,202.51","7,218.99","7,184.68","698.21K","-0.20%"
"Jan 03, 2019","7,203.36","7,211.23","7,232.35","7,183.92","515.75K","-0.17%"
"Jan 02, 2019","7,215.84","7,274.59","7,275.55","7,202.28","527.54K","-0.77%"
"Dec 31, 2018","7,271.65","7,267.58","7,310.90","7,265.80","577.99K","0.17%"
"Dec 28, 2018","7,259.67","7,202.91","7,271.58","7,202.91","779.84K","0.79%"
"Dec 27, 2018","7,202.72","7,174.87","7,206.03","7,174.87","2.71M","0.44%"
"Dec 26, 2018","7,171.42","7,168.52","7,181.79","7,140.22","598.31K","0.01%"
"Dec 25, 2018","7,171.03","7,190.73","7,191.13","7,157.61","740.02K","-0.44%"
"Dec 24, 2018","7,202.96","7,208.21","7,233.53","7,191.13","433.46K","-0.05%"
"Dec 21, 2018","7,206.36","7,203.08","7,228.66","7,192.96","651.13K","0.04%"
"Dec 20, 2018","7,203.41","7,222.46","7,228.59","7,199.94","663.44K","-0.26%"
"Dec 19, 2018","7,222.52","7,223.34","7,243.10","7,212.68","1.57M","-0.24%"
"Dec 18, 2018","7,239.86","7,255.19","7,260.82","7,228.60","554.88K","-0.28%"
"Dec 17, 2018","7,260.35","7,285.39","7,291.20","7,260.35","535.15K","-0.31%"
"Dec 14, 2018","7,283.20","7,276.89","7,302.82","7,248.62","1.23M","0.09%"
"Dec 13, 2018","7,276.92","7,294.23","7,302.19","7,273.35","1.97M","-0.22%"
"Dec 12, 2018","7,293.18","7,298.96","7,304.23","7,257.03","1.01M","0.12%"
"Dec 11, 2018","7,284.38","7,209.22","7,363.98","7,209.22","600.68K","1.21%"
"Dec 10, 2018","7,197.02","7,370.32","7,375.12","7,196.33","904.74K","-2.73%"
"Dec 07, 2018","7,398.88","7,387.93","7,422.42","7,378.54","810.97K","0.33%"
