,TunisAir,court,ouverture,cloture,plus haut,smth 
2019-09-30,,"0,630","0,640","0,650",,
2019-10-01,,"0,650","0,640","0,650",,
2019-10-02,,"0,650","0,650","0,640",,
2019-10-03,,"0,640","0,630","0,640",,
2019-10-04,,"0,630","0,630","0,630",,
2019-10-05,,,,,,
2019-10-06,,,,,,
2019-10-07,,"0,630","0,630","0,630",,
2019-10-08,,"0,630","0,630","0,630",,
2019-10-09,,"0,630","0,630","0,630",,
2019-10-10,,"0,630","0,620","0,630",,
2019-10-11,,"0,630","0,620","0,630",,
2019-10-12,,,,,,
2019-10-13,,,,,,
2019-10-14,,"0,630","0,630","0,630",,
2019-10-15,,,,,,
2019-10-16,,"0,630","0,630","0,630",,
2019-10-17,,"0,630","0,620","0,630",,
2019-10-18,,"0,630","0,630","0,630",,
2019-10-19,,,,,,
2019-10-20,,,,,,
2019-10-21,,"0,630","0,630","0,630",,
2019-10-22,,"0,630","0,620","0,630",,
2019-10-23,,"0,620","0,630","0,620",,
2019-10-24,,"0,620","0,620","0,630",,
2019-10-25,,"0,620","0,620","0,620",,
2019-10-26,,,,,,
2019-10-27,,,,,,
2019-10-28,,"0,620","0,620","0,610",,
2019-10-29,,"0,610","0,620","0,610",,
2019-10-30,,"0,610","0,600","0,610",,
2019-10-31,,"0,610","0,610","0,620",,
2019-11-01,,"0,610","0,610","0,610",,
2019-11-02,,,,,,
2019-11-03,,,,,,
2019-11-04,,"0,600","0,600","0,610",,
2019-11-05,,"0,610","0,600","0,610",,
2019-11-06,,"0,600","0,600","0,610",,
2019-11-07,,"0,610","0,630","0,630",,
2019-11-08,,"0,640","0,660","0,660",,
2019-11-09,,,,,,
2019-11-10,,,,,,
2019-11-11,,"31,710","31,900","31,900",,
2019-11-12,,"0,680","0,680","0,650",,
2019-11-13,,"0,650","0,640","0,630",,
2019-11-14,,"0,640","0,630","0,640",,
2019-11-15,,"0,630","0,630","0,630",,
2019-11-16,,,,,,
2019-11-17,,,,,,
2019-11-18,,"0,630","0,620","0,620",,
2019-11-19,,"0,620","0,620","0,620",,
2019-11-20,,"0,630","0,630","0,630",,
2019-11-21,,"0,640","0,660","0,660",,
2019-11-22,,"0,670","0,640","0,670",,
2019-11-23,,,,,,
2019-11-24,,,,,,
2019-11-25,,"0,640","0,640","0,650",,
2019-11-26,,"0,650","0,650","0,650",,
2019-11-27,,"0,650","0,650","0,650",,
2019-11-28,,"0,640","0,650","0,650",,
2019-11-29,,"0,640","0,640","0,640",,
2019-11-30,,,,,,
2019-12-01,,,,,,
2019-12-02,,"0,650","0,630","0,650",,
2019-12-03,,"0,630","0,640","0,620",,
2019-12-04,,"0,610","0,620","0,620",,
2019-12-05,,"0,610","0,620","0,620",,
2019-12-06,,"0,620","0,630","0,650",,
2019-12-07,,,,,,
2019-12-08,,,,,,
2019-12-09,,"0,640","0,620","0,640",,
2019-12-10,,"0,620","0,610","0,620",,
2019-12-11,,"0,610","0,610","0,620",,
2019-12-12,,"0,620","0,630","0,630",,
2019-12-13,,"0,630","0,620","0,630",,
2019-12-14,,,,,,
2019-12-15,,,,,,
2019-12-16,,"0,630","0,620","0,640",,
2019-12-17,,"0,620","0,620","0,610",,
2019-12-18,,"0,620","0,630","0,630",,
