,SOTRAPIL,ref,ouverture,cloture
2019-06-13,,"15,600",,
2019-06-14,,"15,600","15,140","15,650"
2019-06-15,,,,
2019-06-16,,,,
2019-06-17,,"15,650","15,650","15,650"
2019-06-18,,"15,650","14,960","15,650"
2019-06-19,,"15,650",,
2019-06-20,,"15,650",,
2019-06-21,,"15,650",,
2019-06-22,,,,
2019-06-23,,,,
2019-06-24,,"15,650",,
2019-06-25,,"15,650",,
2019-06-26,,"15,650",,
2019-06-27,,"15,650",,
2019-06-28,,"15,650",,
2019-06-29,,,,
2019-06-30,,,,
2019-07-01,,"15,650","15,600","15,600"
2019-07-02,,"15,600","15,600","15,600"
2019-07-03,,"15,600","15,650","15,600"
2019-07-04,,"15,600",,
2019-07-05,,"15,600",,
2019-07-06,,,,
2019-07-07,,,,
2019-07-08,,"15,600","15,300","15,300"
2019-07-09,,"15,300","15,010","15,250"
2019-07-10,,"15,250","15,000","15,250"
2019-07-11,,"15,250","15,250","15,250"
2019-07-12,,"15,250","15,250","15,250"
2019-07-13,,,,
2019-07-14,,,,
2019-07-15,,"14,300",,
2019-07-16,,"14,300","14,600","14,600"
2019-07-17,,"14,600","14,500","14,500"
2019-07-18,,"14,500","14,500","14,100"
2019-07-19,,"14,100","14,050","14,010"
2019-07-20,,,,
2019-07-21,,,,
2019-07-22,,"13,680","14,090","14,090"
2019-07-23,,"14,090","14,350","13,720"
2019-07-24,,,,
2019-07-25,,,,
2019-07-26,,"14,000","14,200","14,290"
2019-07-27,,,,
2019-07-28,,,,
2019-07-29,,,,
2019-07-30,,"14,420","14,500","14,430"
2019-07-31,,"14,430","14,300","14,300"
2019-08-01,,"14,300","14,000","14,270"
2019-08-02,,"14,270","14,280","14,270"
2019-08-03,,,,
2019-08-04,,,,
2019-08-05,,"14,270","14,270","14,280"
2019-08-06,,"14,280",,
2019-08-07,,"14,280","13,860","14,190"
2019-08-08,,"14,190","14,200","14,200"
2019-08-09,,"14,200",,
2019-08-10,,,,
2019-08-11,,,,
2019-08-12,,,,
2019-08-13,,,,
2019-08-14,,"14,200",,
2019-08-15,,"14,200",,
2019-08-16,,"14,200","13,780","13,780"
2019-08-17,,,,
2019-08-18,,,,
2019-08-19,,"13,780","13,500","13,500"
2019-08-20,,"13,500",,
2019-08-21,,"13,500","13,100","13,100"
2019-08-22,,"13,100","13,100","13,100"
2019-08-23,,"13,100","13,100","13,100"
2019-08-24,,,,
2019-08-25,,,,
2019-08-26,,"13,100","13,100","13,100"
2019-08-27,,"13,100",,
2019-08-28,,"13,100","13,460","13,460"
2019-08-29,,"13,460","13,110","13,460"
2019-08-30,,"13,460","13,400","13,460"
2019-08-31,,,,
2019-09-01,,,,
2019-09-02,,"13,460","13,120","13,700"
2019-09-03,,"13,700","13,290","13,700"
2019-09-04,,"13,700",,
2019-09-05,,"13,700",,
2019-09-06,,"13,700","13,700","13,990"
2019-09-07,,,,
2019-09-08,,,,
2019-09-09,,,,
2019-09-10,,,,
