,BT,ref,ouverture,cloture
2019-09-18,,"7,360","7,360","7,500"
2019-09-19,,"7,500","7,500","7,500"
2019-09-20,,"7,500","7,500","7,500"
2019-09-21,,,,
2019-09-22,,,,
2019-09-23,,"7,500","7,500","7,500"
2019-09-24,,"7,500","7,500","7,500"
2019-09-25,,"7,500","7,450","7,500"
2019-09-26,,"7,500","7,450","7,450"
2019-09-27,,"7,450","7,500","7,500"
2019-09-28,,,,
2019-09-29,,,,
2019-09-30,,"7,500","7,330","7,330"
2019-10-01,,"7,330","7,330","7,340"
2019-10-02,,"7,340","7,340","7,340"
2019-10-03,,"7,340","7,350","7,340"
2019-10-04,,"7,340","7,350","7,360"
2019-10-05,,,,
2019-10-06,,,,
2019-10-07,,"7,360","7,360","7,360"
2019-10-08,,"7,360","7,360","7,360"
2019-10-09,,"7,360","7,360","7,360"
2019-10-10,,"7,360","7,360","7,360"
2019-10-11,,"7,360","7,360","7,390"
2019-10-12,,,,
2019-10-13,,,,
2019-10-14,,"7,390","7,380","7,380"
2019-10-15,,,,
2019-10-16,,"7,380","7,380","7,370"
2019-10-17,,"7,370","7,360","7,370"
2019-10-18,,"7,370","7,450","7,370"
2019-10-19,,,,
2019-10-20,,,,
2019-10-21,,"7,370","7,370","7,400"
2019-10-22,,"7,400","7,400","7,370"
2019-10-23,,"7,370","7,380","7,370"
2019-10-24,,"7,370","7,370","7,400"
2019-10-25,,"7,400","7,400","7,390"
2019-10-26,,,,
2019-10-27,,,,
2019-10-28,,"7,390","7,400","7,400"
2019-10-29,,"7,400","7,400","7,400"
2019-10-30,,"7,400","7,400","7,400"
2019-10-31,,"7,400","7,400","7,400"
2019-11-01,,"7,400","7,400","7,400"
2019-11-02,,,,
2019-11-03,,,,
2019-11-04,,"7,400","7,400","7,400"
2019-11-05,,"7,400","7,400","7,400"
2019-11-06,,"7,400","7,400","7,400"
2019-11-07,,"7,400",,
2019-11-08,,"7,400","7,420","7,600"
2019-11-09,,,,
2019-11-10,,,,
2019-11-11,,"7,600","7,620","7,600"
2019-11-12,,"7,600","7,600","7,600"
2019-11-13,,"7,600","7,600","7,610"
2019-11-14,,"7,610","7,600","7,620"
2019-11-15,,"7,620","7,750","7,620"
2019-11-16,,,,
2019-11-17,,,,
2019-11-18,,"7,620","7,620","7,620"
2019-11-19,,"7,620","7,620","7,620"
2019-11-20,,"7,620","7,620","7,500"
2019-11-21,,"7,500","7,500","7,360"
2019-11-22,,"7,360","7,400","7,360"
2019-11-23,,,,
2019-11-24,,,,
2019-11-25,,"7,360","7,360","7,370"
2019-11-26,,"7,370","7,370","7,330"
2019-11-27,,"7,330","7,320","7,310"
2019-11-28,,"7,310","7,310","7,400"
2019-11-29,,"7,400","7,310","7,400"
2019-11-30,,,,
2019-12-01,,,,
2019-12-02,,"7,400","7,300","7,340"
2019-12-03,,"7,340","7,570","7,360"
2019-12-04,,"7,360","7,360","7,360"
2019-12-05,,"7,360","7,360","7,410"
2019-12-06,,"7,410","7,500","7,570"
2019-12-07,,,,
2019-12-08,,,,
2019-12-09,,"7,570","7,570","7,570"
2019-12-10,,"7,570","7,590","7,570"
2019-12-11,,"7,570","7,570","7,450"
2019-12-12,,"7,450","7,500","7,460"
2019-12-13,,"7,460","7,460","7,450"
2019-12-14,,,,
2019-12-15,,,,
2019-12-16,,"7,450","7,450","7,450"
2019-12-17,,"7,450","7,450","7,420"
2019-12-18,,"7,420","7,350","7,430"
2019-12-19,,"7,430","7,430","7,430"
2019-12-20,,"7,430","7,430","7,430"
2019-12-21,,,,
2019-12-22,,,,
2019-12-23,,"7,430","7,430","7,430"
2019-12-24,,"7,430","7,420","7,430"
2019-12-25,,"7,430","7,430","7,500"
2019-12-26,,"7,500","7,400","7,520"
2019-12-27,,"7,520","7,550","7,600"
2019-12-28,,,,
2019-12-29,,,,
2019-12-30,,"7,600","7,660","7,800"
2019-12-31,,"7,800","7,800","7,800"
2020-01-01,,,,
2020-01-02,,"7,800","7,800","7,570"
2020-01-03,,"7,570","7,560","7,340"
2020-01-04,,,,
2020-01-05,,,,
2020-01-06,,"7,340","7,350","7,300"
2020-01-07,,"7,300","7,300","7,300"
2020-01-08,,"7,300","7,300","7,300"
2020-01-09,,"7,300","7,200","7,200"
2020-01-10,,"7,200","7,290","7,290"
2020-01-11,,,,
2020-01-12,,,,
2020-01-13,,"7,290","7,290","7,250"
2020-01-14,,,,
2020-01-15,,"7,250","7,250","7,300"
2020-01-16,,"7,300","7,300","7,300"
2020-01-17,,"7,300","7,300","7,300"
2020-01-18,,,,
2020-01-19,,,,
2020-01-20,,"7,300","7,250","7,400"
2020-01-21,,"7,400","7,400","7,500"
2020-01-22,,"7,500","7,500","7,500"
2020-01-23,,"7,500","7,500","7,500"
2020-01-24,,"7,500","7,500","7,500"
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,"7,500","7,500","7,500"
2020-01-28,,"7,500","7,500","7,500"
2020-01-29,,"7,500","7,500","7,540"
2020-01-30,,"7,540","7,540","7,570"
2020-01-31,,"7,570","7,570","7,600"
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,"7,600","7,600","7,600"
2020-02-04,,"7,600","7,600","7,600"
2020-02-05,,"7,600","7,640","7,600"
2020-02-06,,"7,600","7,500","7,600"
2020-02-07,,"7,600","7,600","7,650"
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,"7,650","7,650","7,700"
2020-02-11,,"7,700","7,700","7,690"
2020-02-12,,"7,690","7,690","7,700"
2020-02-13,,"7,700","7,700","7,700"
2020-02-14,,"7,700","7,700","7,700"
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,"7,750","7,750","7,750"
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
