,ATB,ref,ouverture,cloture
2019-01-24,,"3,640","3,640","3,640"
2019-01-25,,"3,640","3,640","3,650"
2019-01-26,,,,
2019-01-27,,,,
2019-01-28,,"3,650","3,650","3,650"
2019-01-29,,"3,650","3,640","3,640"
2019-01-30,,"3,640","3,650","3,650"
2019-01-31,,"3,650","3,650","3,650"
2019-02-01,,"3,650","3,650","3,640"
2019-02-02,,,,
2019-02-03,,,,
2019-02-04,,"3,640",,
2019-02-05,,"3,640","3,740","3,640"
2019-02-06,,,,
2019-02-07,,,,
2019-02-08,,"3,720","3,830","3,940"
2019-02-09,,,,
2019-02-10,,,,
2019-02-11,,,,
2019-02-12,,,,
2019-02-13,,"3,980","4,000","3,990"
2019-02-14,,"3,990","3,980","4,000"
2019-02-15,,"4,000","3,990","3,990"
2019-02-16,,,,
2019-02-17,,,,
2019-02-18,,"3,990","4,000","4,000"
2019-02-19,,"4,000","4,040","4,000"
2019-02-20,,"4,000","4,030","4,000"
2019-02-21,,"4,000","3,950","4,000"
2019-02-22,,,,
2019-02-23,,,,
2019-02-24,,,,
2019-02-25,,"4,000","4,000","4,000"
2019-02-26,,"4,000","3,990","3,990"
2019-02-27,,"3,990","4,000","3,960"
2019-02-28,,"3,960","3,960","3,960"
2019-03-01,,"3,960","4,000","3,920"
2019-03-02,,,,
2019-03-03,,,,
2019-03-04,,"3,920","3,910","3,930"
2019-03-05,,"3,930","3,900","3,890"
2019-03-06,,"3,890","3,890","3,890"
2019-03-07,,"3,890","3,840","3,840"
2019-03-08,,"3,840","3,840","3,730"
2019-03-09,,,,
2019-03-10,,,,
2019-03-11,,"3,730","3,720","3,650"
2019-03-12,,"3,650","3,550","3,570"
2019-03-13,,"3,570","3,650","3,600"
2019-03-14,,"3,600","3,550","3,600"
2019-03-15,,"3,600","3,590","3,500"
2019-03-16,,,,
2019-03-17,,,,
2019-03-18,,"3,500","3,550","3,500"
2019-03-19,,"3,500","3,500","3,450"
2019-03-20,,,,
2019-03-21,,"3,450","3,450","3,430"
2019-03-22,,"3,430","3,430","3,500"
2019-03-23,,,,
2019-03-24,,,,
2019-03-25,,"3,500","3,500","3,500"
2019-03-26,,"3,500","3,500","3,500"
2019-03-27,,"3,500","3,420","3,500"
2019-03-28,,,,
2019-03-29,,"3,500","3,500","3,400"
2019-03-30,,,,
2019-03-31,,,,
2019-04-01,,"3,400","3,400","3,300"
2019-04-02,,"3,300","3,390","3,340"
2019-04-03,,"3,340","3,430","3,240"
2019-04-04,,"3,240","3,380","3,370"
2019-04-05,,"3,370","3,370","3,370"
2019-04-06,,,,
2019-04-07,,,,
2019-04-08,,"3,370","3,300","3,270"
2019-04-09,,,,
2019-04-10,,"3,270","3,260","3,160"
2019-04-11,,"3,160","3,140","3,160"
2019-04-12,,"3,160","3,160","3,160"
2019-04-13,,,,
2019-04-14,,,,
2019-04-15,,"3,160",,
2019-04-16,,"3,020","2,930","2,900"
2019-04-17,,"2,900","2,900","2,900"
2019-04-18,,"2,980","2,900","3,000"
2019-04-19,,"3,000","3,090","3,090"
2019-04-20,,,,
2019-04-21,,,,
2019-04-22,,"3,090","3,090","3,000"
2019-04-23,,"3,000","3,070","3,050"
2019-04-24,,"3,050","3,000","3,000"
2019-04-25,,"3,000","3,050","2,960"
2019-04-26,,"2,960","3,000","3,000"
2019-04-27,,,,
2019-04-28,,,,
2019-04-29,,"3,000","2,910","2,910"
2019-04-30,,"2,910","2,910","2,990"
2019-05-01,,,,
2019-05-02,,"2,990","3,020","3,020"
2019-05-03,,"3,020","3,030","3,000"
2019-05-04,,,,
2019-05-05,,,,
2019-05-06,,"3,000","3,030","2,940"
2019-05-07,,"2,940","2,810","2,810"
2019-05-08,,"2,810","2,890","2,880"
2019-05-09,,"2,810","2,930","2,800"
2019-05-10,,"2,800","2,870","2,800"
2019-05-11,,,,
2019-05-12,,,,
2019-05-13,,"2,800","2,880","2,800"
2019-05-14,,"2,800","2,880","2,880"
2019-05-15,,"2,880","2,960","2,880"
2019-05-16,,"2,880","2,880","2,800"
2019-05-17,,"2,800","2,920","2,780"
2019-05-18,,,,
2019-05-19,,,,
2019-05-20,,"2,780","2,860","2,800"
2019-05-21,,"2,800","2,880","2,880"
2019-05-22,,"2,880","2,960","2,880"
2019-05-23,,"2,880","2,800","2,800"
2019-05-24,,"2,800","2,880","2,850"
2019-05-25,,,,
2019-05-26,,,,
2019-05-27,,"2,850","2,800","2,850"
2019-05-28,,"2,850","2,800","2,800"
2019-05-29,,"2,800","2,760","2,790"
2019-05-30,,"2,790","2,750","2,870"
2019-05-31,,"2,870","2,870","2,930"
2019-06-01,,,,
2019-06-02,,,,
2019-06-03,,"2,930","3,010","3,040"
2019-06-04,,,,
2019-06-05,,,,
2019-06-06,,,,
2019-06-07,,"3,040","3,130","3,220"
2019-06-08,,,,
2019-06-09,,,,
2019-06-10,,"3,220","3,320","3,410"
2019-06-11,,,,
2019-06-12,,"3,610","3,770","3,820"
