,tijari,ref,ouverture,cloture
2019-03-07,,"38,400","38,300","38,190"
2019-03-08,,"38,190","37,900","37,950"
2019-03-09,,,,
2019-03-10,,,,
2019-03-11,,"37,950","37,900","36,770"
2019-03-12,,"36,770","36,590","34,950"
2019-03-13,,"34,950","33,880","32,860"
2019-03-14,,"32,860",,
2019-03-15,,"32,860","32,500","31,040"
2019-03-16,,,,
2019-03-17,,,,
2019-03-18,,"30,860","29,480","31,850"
2019-03-19,,"31,850","33,280","33,100"
2019-03-20,,,,
2019-03-21,,"33,100","33,900","32,890"
2019-03-22,,"32,890","33,480","34,480"
2019-03-23,,,,
2019-03-24,,,,
2019-03-25,,"34,480","35,500","36,560"
2019-03-26,,"36,560","37,650","37,000"
2019-03-27,,"37,000","37,980","36,850"
2019-03-28,,,,
2019-03-29,,"35,800","34,190","34,190"
2019-03-30,,,,
2019-03-31,,,,
2019-04-01,,"34,190","33,170","34,000"
2019-04-02,,"34,000","35,020","34,800"
2019-04-03,,"34,800","34,400","33,990"
2019-04-04,,"33,990","33,800","35,510"
2019-04-05,,"35,510","35,430","35,890"
2019-04-06,,,,
2019-04-07,,,,
2019-04-08,,"35,890","35,800","35,700"
2019-04-09,,,,
2019-04-10,,"35,700","35,700","36,650"
2019-04-11,,"36,650","36,640","37,000"
2019-04-12,,"37,000","37,000","36,890"
2019-04-13,,,,
2019-04-14,,,,
2019-04-15,,"36,890","36,880","36,800"
2019-04-16,,"36,800","36,020","36,500"
2019-04-17,,"36,500","36,490","36,000"
2019-04-18,,"36,000","36,000","35,100"
2019-04-19,,"35,100","35,100","35,100"
2019-04-20,,,,
2019-04-21,,,,
2019-04-22,,"35,100","35,400","34,050"
2019-04-23,,"34,050","34,980","34,000"
2019-04-24,,"34,000","34,000","33,840"
2019-04-25,,"33,840","34,030","34,900"
2019-04-26,,"34,900","35,940","35,800"
2019-04-27,,,,
2019-04-28,,,,
2019-04-29,,"35,800","35,800","35,790"
2019-04-30,,"35,790","36,100","36,100"
2019-05-01,,,,
2019-05-02,,"36,100","36,100","35,900"
2019-05-03,,"35,900","36,500","35,700"
2019-05-04,,,,
2019-05-05,,,,
2019-05-06,,"35,700","35,800","35,700"
2019-05-07,,"35,700","35,600","35,700"
2019-05-08,,"35,700","35,700","35,700"
2019-05-09,,"35,700","35,010","35,400"
2019-05-10,,"35,400","35,600","35,600"
2019-05-11,,,,
2019-05-12,,,,
2019-05-13,,"35,600","35,300","36,250"
2019-05-14,,"36,250","37,000","36,700"
2019-05-15,,"34,500","35,490","34,430"
2019-05-16,,"34,430","34,200","34,190"
2019-05-17,,"34,190","33,250","33,300"
2019-05-18,,,,
2019-05-19,,,,
2019-05-20,,"33,300","33,200","32,790"
2019-05-21,,"32,790","32,790","32,280"
2019-05-22,,"32,280","32,210","32,500"
2019-05-23,,"32,500","32,300","32,100"
2019-05-24,,"32,100","32,500","32,300"
2019-05-25,,,,
2019-05-26,,,,
2019-05-27,,"32,300","32,300","32,700"
2019-05-28,,"32,700","32,320","33,000"
2019-05-29,,"33,000","33,000","33,000"
2019-05-30,,"33,000","33,100","33,200"
2019-05-31,,"33,200","33,010","33,800"
2019-06-01,,,,
2019-06-02,,,,
2019-06-03,,"33,800","34,170","34,150"
2019-06-04,,,,
2019-06-05,,,,
2019-06-06,,,,
2019-06-07,,"34,150","34,500","34,990"
2019-06-08,,,,
2019-06-09,,,,
2019-06-10,,"34,990","34,990","34,980"
2019-06-11,,,,
2019-06-12,,"34,500","34,790","35,570"
2019-06-13,,"35,570","35,000","35,450"
2019-06-14,,"35,450","35,450","35,700"
2019-06-15,,,,
2019-06-16,,,,
2019-06-17,,"35,700","35,250","35,840"
2019-06-18,,"35,840","35,840","35,750"
2019-06-19,,"35,750","35,750","35,700"
2019-06-20,,"35,700","35,700","35,700"
2019-06-21,,"35,700","35,700","35,800"
2019-06-22,,,,
2019-06-23,,,,
2019-06-24,,"35,800","35,500","35,600"
2019-06-25,,"35,600","35,600","35,700"
2019-06-26,,"35,700","35,630","35,700"
2019-06-27,,"35,700","35,700","35,600"
2019-06-28,,"35,600","35,650","35,200"
2019-06-29,,,,
2019-06-30,,,,
2019-07-01,,"35,200","35,200","35,490"
2019-07-02,,"35,490","35,600","35,500"
2019-07-03,,"35,500","35,200","35,200"
2019-07-04,,"35,200","35,500","35,000"
2019-07-05,,"35,000","35,000","34,380"
2019-07-06,,,,
2019-07-07,,,,
2019-07-08,,"34,380","34,380","34,800"
2019-07-09,,"34,800","34,500","34,700"
2019-07-10,,"34,700","34,600","34,600"
2019-07-11,,"34,600","34,000","34,490"
2019-07-12,,"34,490","34,010","34,600"
2019-07-13,,,,
2019-07-14,,,,
2019-07-15,,"34,600","34,000","34,390"
2019-07-16,,"34,390","34,060","34,500"
2019-07-17,,"34,500","35,000","34,110"
2019-07-18,,"34,110","34,990","34,500"
2019-07-19,,"34,500","34,110","34,100"
2019-07-20,,,,
2019-07-21,,,,
2019-07-22,,"34,100","34,110","34,400"
2019-07-23,,"34,400","34,050","34,200"
2019-07-24,,,,
2019-07-25,,,,
2019-07-26,,"34,400","34,300","34,150"
2019-07-27,,,,
2019-07-28,,,,
2019-07-29,,,,
2019-07-30,,"34,400","34,290","34,500"
2019-07-31,,"34,500","34,410","35,000"
2019-08-01,,"35,000","34,200","34,840"
2019-08-02,,"34,840","34,200","34,800"
