,ARTES,ref,ouverture,cloture
2019-08-04,,,,
2019-08-05,,"5,700","5,690","5,690"
2019-08-06,,"5,690","5,660","5,600"
2019-08-07,,"5,600","5,660","5,600"
2019-08-08,,"5,600","5,660","5,660"
2019-08-09,,"5,660","5,660","5,660"
2019-08-10,,,,
2019-08-11,,,,
2019-08-12,,,,
2019-08-13,,,,
2019-08-14,,"5,660","5,660","5,660"
2019-08-15,,"5,660","5,660","5,660"
2019-08-16,,"5,660","5,650","5,640"
2019-08-17,,,,
2019-08-18,,,,
2019-08-19,,"5,640","5,660","5,650"
2019-08-20,,"5,650","5,560","5,650"
2019-08-21,,"5,650","5,560","5,520"
2019-08-22,,"5,520","5,510","5,500"
2019-08-23,,"5,500","5,500","5,660"
2019-08-24,,,,
2019-08-25,,,,
2019-08-26,,"5,660",,
2019-08-27,,"5,660",,
2019-08-28,,"5,660","5,530","5,550"
2019-08-29,,"5,550","5,700","5,550"
2019-08-30,,"5,550","5,530","5,690"
2019-08-31,,,,
2019-09-01,,,,
2019-09-02,,"5,690","5,530","5,530"
2019-09-03,,"5,530",,
2019-09-04,,"5,530","5,600","5,600"
2019-09-05,,"5,600","5,630","5,600"
2019-09-06,,"5,600","5,600","5,640"
2019-09-07,,,,
2019-09-08,,,,
2019-09-09,,,,
2019-09-10,,,,
2019-09-11,,"5,690","5,650","5,650"
2019-09-12,,"5,650",,
2019-09-13,,"5,650",,
2019-09-14,,,,
2019-09-15,,,,
2019-09-16,,"5,650",,
2019-09-17,,"5,650",,
2019-09-18,,"5,650","5,640","5,600"
2019-09-19,,"5,600","5,590","5,640"
2019-09-20,,"5,640","5,630","5,630"
2019-09-21,,,,
2019-09-22,,,,
2019-09-23,,"5,630","5,600","5,600"
2019-09-24,,"5,600",,
2019-09-25,,"5,600","5,640","5,640"
2019-09-26,,"5,640","5,530","5,630"
2019-09-27,,"5,630","5,630","5,630"
2019-09-28,,,,
2019-09-29,,,,
2019-09-30,,"5,630","5,630","5,600"
2019-10-01,,"5,600","5,600","5,600"
2019-10-02,,"5,600","5,640","5,600"
2019-10-03,,"5,600","5,620","5,600"
2019-10-04,,"5,600","5,600","5,600"
2019-10-05,,,,
2019-10-06,,,,
2019-10-07,,"5,600",,
2019-10-08,,"5,600","5,550","5,600"
2019-10-09,,"5,600",,
2019-10-10,,"5,600","5,600","5,550"
2019-10-11,,"5,550","5,600","5,530"
2019-10-12,,,,
2019-10-13,,,,
2019-10-14,,"5,530","5,510","5,530"
2019-10-15,,,,
2019-10-16,,"5,530","5,530","5,600"
2019-10-17,,"5,600","5,600","5,600"
2019-10-18,,"5,600","5,510","5,550"
2019-10-19,,,,
2019-10-20,,,,
2019-10-21,,"5,550","5,550","5,550"
2019-10-22,,"5,550","5,550","5,520"
2019-10-23,,"5,520","5,510","5,500"
2019-10-24,,"5,500","5,500","5,500"
2019-10-25,,"5,500","5,600","5,500"
2019-10-26,,,,
2019-10-27,,,,
2019-10-28,,"5,500","5,600","5,550"
2019-10-29,,"5,550","5,500","5,550"
2019-10-30,,"5,550","5,470","5,470"
2019-10-31,,"5,470","5,450","5,400"
2019-11-01,,"5,400","5,380","5,470"
2019-11-02,,,,
2019-11-03,,,,
2019-11-04,,"5,470","5,470","5,310"
2019-11-05,,"5,310","5,300","5,200"
2019-11-06,,"5,200","5,180","5,150"
2019-11-07,,"5,150","5,150","5,150"
2019-11-08,,"5,150","5,150","5,140"
2019-11-09,,,,
2019-11-10,,,,
2019-11-11,,"5,140","5,050","5,040"
2019-11-12,,"5,040","5,040","5,000"
2019-11-13,,"5,000","5,000","5,000"
2019-11-14,,"5,000","5,000","4,900"
2019-11-15,,"4,900","4,900","4,850"
2019-11-16,,,,
2019-11-17,,,,
2019-11-18,,"4,850","4,800","4,870"
2019-11-19,,"4,870","4,710","4,830"
2019-11-20,,"4,830","4,850","4,850"
2019-11-21,,"4,850","4,750","4,790"
2019-11-22,,"4,790","4,850","4,850"
2019-11-23,,,,
2019-11-24,,,,
2019-11-25,,"4,850","4,860","4,850"
2019-11-26,,"4,850","4,840","4,850"
2019-11-27,,"4,850","4,840","4,840"
2019-11-28,,"4,840","4,760","4,840"
2019-11-29,,"4,840","4,840","4,840"
2019-11-30,,,,
2019-12-01,,,,
2019-12-02,,"4,840","4,830","4,820"
2019-12-03,,"4,820","4,840","4,830"
2019-12-04,,"4,830","4,860","4,850"
2019-12-05,,"4,850","4,850","4,850"
2019-12-06,,"4,850","4,900","4,850"
2019-12-07,,,,
2019-12-08,,,,
2019-12-09,,"4,850","4,990","4,850"
2019-12-10,,"4,850","4,950","4,850"
2019-12-11,,"4,850","4,940","4,850"
2019-12-12,,"4,850","4,940","4,890"
2019-12-13,,"4,890","4,900","4,890"
2019-12-14,,,,
2019-12-15,,,,
2019-12-16,,"4,890","4,830","4,800"
2019-12-17,,"4,800","4,800","4,750"
2019-12-18,,"4,750","4,800","4,850"
2019-12-19,,"4,850","4,920","4,920"
2019-12-20,,"4,920","4,800","4,840"
2019-12-21,,,,
2019-12-22,,,,
2019-12-23,,"4,840","4,810","4,840"
2019-12-24,,"4,840","4,850","4,850"
2019-12-25,,"4,850","4,800","4,840"
2019-12-26,,"4,840","4,840","4,840"
2019-12-27,,"4,840","4,890","4,800"
2019-12-28,,,,
2019-12-29,,,,
2019-12-30,,"4,800","4,850","4,850"
2019-12-31,,"4,850","4,850","4,880"
2020-01-01,,,,
2020-01-02,,"4,880","4,880","4,870"
2020-01-03,,"4,870","4,890","4,890"
2020-01-04,,,,
2020-01-05,,,,
2020-01-06,,"4,890","4,810","4,890"
2020-01-07,,"4,890","4,810","4,800"
2020-01-08,,"4,800","4,800","4,800"
2020-01-09,,"4,800","4,810","4,880"
2020-01-10,,"4,880","4,880","4,880"
2020-01-11,,,,
2020-01-12,,,,
2020-01-13,,"4,880","4,870","4,860"
2020-01-14,,,,
2020-01-15,,"4,860","4,860","4,860"
2020-01-16,,"4,860","4,800","4,720"
2020-01-17,,"4,720","4,700","4,840"
2020-01-18,,,,
2020-01-19,,,,
2020-01-20,,"4,840","4,700","4,800"
2020-01-21,,"4,800","4,800","4,850"
2020-01-22,,"4,850","4,800","4,990"
2020-01-23,,"4,990","5,020","5,160"
2020-01-24,,"5,160","5,140","5,150"
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,"5,150","5,140","5,070"
2020-01-28,,"5,070","5,070","5,050"
2020-01-29,,"5,050","5,050","5,010"
2020-01-30,,"5,010","5,040","4,990"
2020-01-31,,"4,990","5,000","5,020"
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,"5,020","5,030","5,000"
2020-02-04,,"5,000","5,000","4,950"
2020-02-05,,"4,950","4,950","5,000"
2020-02-06,,"5,000","4,990","4,900"
2020-02-07,,"4,900","4,900","4,900"
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,"4,900","4,820","5,040"
2020-02-11,,"5,040","5,000","5,150"
2020-02-12,,"5,150","5,000","5,120"
2020-02-13,,"5,120","5,100","5,070"
2020-02-14,,"5,070","5,070","5,010"
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,"5,100","5,000","5,070"
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,"5,000","5,000","5,000"
2020-03-06,,"5,000","5,130","5,130"
2020-03-07,,,,
2020-03-08,,,,
2020-03-09,,"5,130","5,020","4,900"
