,TELNET,ref,ouverture,cloture
2019-05-23,,"11,350","11,350","11,400"
2019-05-24,,"11,400","11,500","11,580"
2019-05-25,,,,
2019-05-26,,,,
2019-05-27,,"11,580","11,830","11,740"
2019-05-28,,"11,740","11,800","11,500"
2019-05-29,,"11,500","11,660","11,790"
2019-05-30,,"11,790","11,850","11,790"
2019-05-31,,"11,790","11,800","11,840"
2019-06-01,,,,
2019-06-02,,,,
2019-06-03,,"11,840","11,930","12,030"
2019-06-04,,,,
2019-06-05,,,,
2019-06-06,,,,
2019-06-07,,"12,030","12,020","12,060"
2019-06-08,,,,
2019-06-09,,,,
2019-06-10,,"12,060","12,000","12,390"
2019-06-11,,,,
2019-06-12,,"12,130","12,200","11,990"
2019-06-13,,"11,990","12,000","12,200"
2019-06-14,,"12,200","12,300","12,250"
2019-06-15,,,,
2019-06-16,,,,
2019-06-17,,"12,250","12,250","12,200"
2019-06-18,,"12,200","12,250","11,950"
2019-06-19,,"11,950","12,090","12,050"
2019-06-20,,"12,050","12,080","12,190"
2019-06-21,,"12,190","12,190","12,050"
2019-06-22,,,,
2019-06-23,,,,
2019-06-24,,"12,050","12,200","12,000"
2019-06-25,,"11,300","11,400","11,300"
2019-06-26,,"11,300","11,390","11,400"
2019-06-27,,"11,400","11,480","11,140"
2019-06-28,,"11,140","11,140","11,400"
2019-06-29,,,,
2019-06-30,,,,
2019-07-01,,"10,360","10,500","10,660"
2019-07-02,,"10,660","10,660","10,470"
2019-07-03,,"10,470","10,580","10,630"
2019-07-04,,"10,630","10,500","10,570"
2019-07-05,,"10,570","10,710","10,470"
2019-07-06,,,,
2019-07-07,,,,
2019-07-08,,"10,470","10,500","10,400"
2019-07-09,,"10,400","10,500","10,450"
2019-07-10,,"10,450","10,700","10,380"
2019-07-11,,"10,380","10,630","10,400"
2019-07-12,,"10,400","10,370","10,300"
2019-07-13,,,,
2019-07-14,,,,
2019-07-15,,"10,300","10,300","10,370"
2019-07-16,,"10,370","10,370","10,180"
2019-07-17,,"10,180","10,190","10,100"
2019-07-18,,"10,100","10,160","10,300"
2019-07-19,,"10,300","10,300","10,300"
2019-07-20,,,,
2019-07-21,,,,
2019-07-22,,"10,300","10,300","10,100"
2019-07-23,,"10,100","10,100","10,100"
2019-07-24,,,,
2019-07-25,,,,
2019-07-26,,"10,200","10,190","10,140"
2019-07-27,,,,
2019-07-28,,,,
2019-07-29,,,,
2019-07-30,,"10,000","9,950","9,900"
2019-07-31,,"9,900","9,860","9,580"
2019-08-01,,"9,580","9,490","9,260"
2019-08-02,,"9,260","8,900","8,930"
2019-08-03,,,,
2019-08-04,,,,
2019-08-05,,"8,930","8,920","9,180"
2019-08-06,,"9,180","9,180","9,460"
2019-08-07,,"9,460","9,690","9,460"
2019-08-08,,"9,460","9,460","9,310"
2019-08-09,,"9,310","9,300","9,400"
2019-08-10,,,,
2019-08-11,,,,
2019-08-12,,,,
2019-08-13,,,,
2019-08-14,,"9,400","9,390","9,300"
2019-08-15,,"9,300","9,210","9,290"
2019-08-16,,"9,290","9,270","9,280"
2019-08-17,,,,
2019-08-18,,,,
2019-08-19,,"9,280","9,200","9,200"
2019-08-20,,"9,200","9,200","9,150"
2019-08-21,,"9,150","9,090","9,100"
2019-08-22,,"9,100","9,030","9,080"
2019-08-23,,"9,080","9,000","9,090"
2019-08-24,,,,
2019-08-25,,,,
2019-08-26,,"9,090","9,000","9,000"
2019-08-27,,"9,000","8,900","8,890"
2019-08-28,,"8,890","8,890","8,840"
2019-08-29,,"8,840","8,890","8,680"
2019-08-30,,"8,680","8,660","8,840"
2019-08-31,,,,
2019-09-01,,,,
2019-09-02,,"8,840","8,840","8,770"
2019-09-03,,"8,770","8,520","8,650"
2019-09-04,,"8,650","8,690","8,680"
2019-09-05,,"8,680","8,690","8,690"
2019-09-06,,"8,690","8,690","8,660"
2019-09-07,,,,
2019-09-08,,,,
2019-09-09,,,,
2019-09-10,,,,
2019-09-11,,"8,700","8,680","8,680"
2019-09-12,,"8,680","8,660","8,650"
2019-09-13,,"8,650","8,680","8,880"
2019-09-14,,,,
2019-09-15,,,,
2019-09-16,,"8,880","8,880","8,730"
2019-09-17,,"8,730","8,730","8,750"
2019-09-18,,"8,750","8,750","8,600"
2019-09-19,,"8,600","8,560","8,600"
2019-09-20,,"8,600","8,590","8,570"
2019-09-21,,,,
2019-09-22,,,,
2019-09-23,,"8,570","8,580","8,570"
2019-09-24,,"8,570","8,510","8,440"
2019-09-25,,"8,440","8,490","8,430"
2019-09-26,,"8,430","8,440","8,300"
2019-09-27,,"8,300","8,200","7,970"
2019-09-28,,,,
2019-09-29,,,,
2019-09-30,,"7,970","7,950","7,780"
2019-10-01,,"7,780","7,850","7,630"
2019-10-02,,"7,630","7,630","7,680"
2019-10-03,,"7,680","7,780","8,000"
2019-10-04,,"8,000","8,340","8,360"
2019-10-05,,,,
2019-10-06,,,,
2019-10-07,,"8,360","8,560","8,800"
2019-10-08,,"8,800","8,880","9,100"
2019-10-09,,"9,100","9,100","9,100"
2019-10-10,,"9,100","8,950","9,040"
2019-10-11,,"9,040","8,960","9,000"
2019-10-12,,,,
2019-10-13,,,,
2019-10-14,,"9,000","9,040","9,540"
2019-10-15,,,,
2019-10-16,,"9,540","9,820","9,700"
2019-10-17,,"9,700","9,690","9,700"
2019-10-18,,"9,700","9,550","9,850"
2019-10-19,,,,
2019-10-20,,,,
2019-10-21,,"9,850","9,850","9,840"
2019-10-22,,"9,840","9,800","9,750"
2019-10-23,,"9,750","9,670","9,380"
2019-10-24,,"9,380","9,380","9,050"
2019-10-25,,"9,050","9,280","9,390"
2019-10-26,,,,
2019-10-27,,,,
2019-10-28,,"9,390","9,350","9,330"
2019-10-29,,"9,330","9,300","9,300"
2019-10-30,,"9,300","9,250","9,150"
2019-10-31,,"9,150","9,110","9,250"
2019-11-01,,"9,250","9,240","9,250"
2019-11-02,,,,
2019-11-03,,,,
2019-11-04,,"9,250","9,020","9,150"
2019-11-05,,"9,150","9,120","9,220"
2019-11-06,,"9,220","9,180","9,170"
2019-11-07,,"9,170","9,120","9,100"
2019-11-08,,"9,100","9,010","9,000"
2019-11-09,,,,
2019-11-10,,,,
2019-11-11,,"9,000","8,990","9,000"
2019-11-12,,"9,000","8,980","9,140"
2019-11-13,,"9,140","9,210","9,200"
2019-11-14,,"9,200","9,200","9,150"
2019-11-15,,"9,150","9,150","9,100"
2019-11-16,,,,
2019-11-17,,,,
2019-11-18,,"9,100","9,100","9,050"
2019-11-19,,"9,050","9,030","9,000"
2019-11-20,,"9,000","9,000","9,000"
2019-11-21,,"9,000","8,980","8,880"
2019-11-22,,"8,880","8,880","8,970"
2019-11-23,,,,
2019-11-24,,,,
