,City Cars,ref,ouverture,cloture
2019-05-07,,"11,000","11,000","10,990"
2019-05-08,,"10,990","11,000","10,990"
2019-05-09,,"10,990","10,950","10,810"
2019-05-10,,"10,810","10,810","10,900"
2019-05-11,,,,
2019-05-12,,,,
2019-05-13,,"10,900","10,900","10,890"
2019-05-14,,"10,890","10,810","10,900"
2019-05-15,,"10,900","10,900","10,880"
2019-05-16,,"10,880","10,890","10,900"
2019-05-17,,"10,900","10,890","10,890"
2019-05-18,,,,
2019-05-19,,,,
2019-05-20,,"10,890","10,890","10,890"
2019-05-21,,"10,890","10,890","10,890"
2019-05-22,,"10,890","10,900","10,890"
2019-05-23,,"10,890","10,900","10,900"
2019-05-24,,"10,900","10,900","10,900"
2019-05-25,,,,
2019-05-26,,,,
2019-05-27,,"10,900","10,900","10,900"
2019-05-28,,"10,900","10,900","10,900"
2019-05-29,,"10,900","10,900","10,890"
2019-05-30,,"10,890","10,900","10,900"
2019-05-31,,"10,900","10,900","10,900"
2019-06-01,,,,
2019-06-02,,,,
2019-06-03,,"10,900","11,000","10,900"
2019-06-04,,,,
2019-06-05,,,,
2019-06-06,,,,
2019-06-07,,"10,900","10,900","10,900"
2019-06-08,,,,
2019-06-09,,,,
2019-06-10,,"10,900","10,900","10,880"
2019-06-11,,,,
2019-06-12,,"10,870","10,900","10,810"
2019-06-13,,"10,810","11,000","11,000"
2019-06-14,,"11,000","10,900","10,900"
2019-06-15,,,,
2019-06-16,,,,
2019-06-17,,"10,900","10,900","10,900"
2019-06-18,,"10,900","10,780","10,900"
2019-06-19,,"10,900","10,890","10,810"
2019-06-20,,"10,810","10,810","11,000"
2019-06-21,,"11,000","11,000","11,000"
2019-06-22,,,,
2019-06-23,,,,
2019-06-24,,"11,000","10,900","10,900"
2019-06-25,,"10,900","10,810","10,900"
2019-06-26,,"10,900","10,900","10,900"
2019-06-27,,"10,900","11,000","10,750"
2019-06-28,,"10,750","10,990","10,900"
2019-06-29,,,,
2019-06-30,,,,
2019-07-01,,"10,900","11,000","10,900"
2019-07-02,,"10,900","10,900","10,900"
2019-07-03,,"10,900","10,900","10,900"
2019-07-04,,"10,900","11,220","10,890"
2019-07-05,,"10,890","10,810","10,800"
2019-07-06,,,,
2019-07-07,,,,
2019-07-08,,"10,800","10,820","10,780"
2019-07-09,,"10,780","10,790","10,800"
2019-07-10,,"10,800","10,810","10,800"
2019-07-11,,"10,800","10,800","10,800"
2019-07-12,,"10,800","10,900","10,750"
2019-07-13,,,,
2019-07-14,,,,
2019-07-15,,"9,800","10,090","10,090"
2019-07-16,,"10,090","9,870","9,800"
2019-07-17,,"9,800","10,070","9,800"
2019-07-18,,"9,800","9,800","9,740"
2019-07-19,,"9,740","9,980","9,690"
2019-07-20,,,,
2019-07-21,,,,
2019-07-22,,"9,690","9,650","9,610"
2019-07-23,,"9,610","9,880","9,800"
2019-07-24,,,,
2019-07-25,,,,
2019-07-26,,"9,770","9,800","9,790"
2019-07-27,,,,
2019-07-28,,,,
2019-07-29,,,,
2019-07-30,,"9,790","9,520","9,750"
2019-07-31,,"9,750","9,750","9,790"
2019-08-01,,"9,790","9,770","9,620"
2019-08-02,,"9,620","9,620","9,700"
2019-08-03,,,,
2019-08-04,,,,
2019-08-05,,"9,700","9,980","9,980"
2019-08-06,,"9,980",,
2019-08-07,,"9,980","9,780","9,790"
2019-08-08,,"9,790","9,650","9,650"
2019-08-09,,"9,650","9,750","9,750"
2019-08-10,,,,
2019-08-11,,,,
2019-08-12,,,,
2019-08-13,,,,
2019-08-14,,"9,750","9,750","9,870"
2019-08-15,,"9,870","10,050","9,840"
2019-08-16,,"9,840","9,840","9,870"
2019-08-17,,,,
2019-08-18,,,,
2019-08-19,,"9,870","9,870","9,870"
2019-08-20,,"9,870","9,870","10,040"
2019-08-21,,"10,040","10,040","10,040"
2019-08-22,,"10,040","10,050","10,050"
2019-08-23,,"10,050","10,040","10,050"
