,GIF,ref,ouverture,cloture
2020-01-01,,,,
2020-01-02,,"0,610","0,610","0,610"
2020-01-03,,"0,610","0,600","0,600"
2020-01-04,,,,
2020-01-05,,,,
2020-01-06,,"0,600","0,620","0,610"
2020-01-07,,"0,610","0,600","0,600"
2020-01-08,,"0,600","0,590","0,590"
2020-01-09,,"0,590","0,580","0,580"
2020-01-10,,"0,580","0,580","0,570"
2020-01-11,,,,
2020-01-12,,,,
2020-01-13,,"0,570","0,570","0,570"
2020-01-14,,,,
2020-01-15,,"0,570","0,560","0,560"
2020-01-16,,"0,560","0,550","0,540"
2020-01-17,,"0,540","0,530","0,550"
2020-01-18,,,,
2020-01-19,,,,
2020-01-20,,"0,550","0,550","0,550"
2020-01-21,,"0,550","0,560","0,550"
2020-01-22,,"0,550","0,550","0,540"
2020-01-23,,"0,540","0,550","0,540"
2020-01-24,,"0,540","0,530","0,540"
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,"0,540","0,530","0,530"
2020-01-28,,"0,530","0,520","0,520"
2020-01-29,,"0,520","0,510","0,520"
2020-01-30,,"0,520","0,530","0,530"
2020-01-31,,"0,530","0,530","0,530"
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,"0,530","0,530","0,530"
2020-02-04,,"0,530","0,520","0,540"
2020-02-05,,"0,540","0,560","0,560"
2020-02-06,,"0,560","0,560","0,560"
2020-02-07,,"0,560","0,550","0,560"
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,"0,560","0,570","0,590"
2020-02-11,,"0,590","0,610","0,620"
2020-02-12,,"0,620","0,630","0,610"
2020-02-13,,"0,610","0,610","0,580"
2020-02-14,,"0,580","0,580","0,570"
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,"0,590","0,570","0,570"
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,"0,560","0,570","0,570"
2020-03-06,,"0,570","0,560","0,560"
2020-03-07,,,,
2020-03-08,,,,
2020-03-09,,"0,560","0,560","0,560"
2020-03-10,,"0,560","0,540","0,540"
