,STAR,ref,ouverture,cloture
2019-01-09,,,,
2019-01-10,,"131,990","131,000","131,000"
2019-01-11,,"131,000",,
2019-01-12,,,,
2019-01-13,,,,
2019-01-14,,,,
2019-01-15,,"131,000",,
2019-01-16,,"131,000",,
2019-01-17,,"131,000","127,070","127,070"
2019-01-18,,"127,070",,
2019-01-19,,,,
2019-01-20,,,,
2019-01-21,,"127,070",,
2019-01-22,,"127,070","123,300","123,300"
2019-01-23,,"123,300","119,610","119,610"
2019-01-24,,"119,610","123,190","119,610"
2019-01-25,,"119,610",,
2019-01-26,,,,
2019-01-27,,,,
2019-01-28,,"119,610","119,600","123,100"
2019-01-29,,"123,100","125,990","125,990"
2019-01-30,,"125,990",,
2019-01-31,,"125,990","120,330","130,990"
2019-02-01,,"130,990","130,000","129,000"
2019-02-02,,,,
2019-02-03,,,,
2019-02-04,,"129,000",,
2019-02-05,,"129,000","123,200","128,000"
2019-02-06,,,,
2019-02-07,,,,
2019-02-08,,"132,000","132,000","132,000"
2019-02-09,,,,
2019-02-10,,,,
2019-02-11,,,,
2019-02-12,,,,
2019-02-13,,"129,000","127,000","127,000"
2019-02-14,,"127,000","130,810","130,810"
2019-02-15,,"130,810","131,990","131,990"
2019-02-16,,,,
2019-02-17,,,,
2019-02-18,,"131,990","130,990","135,900"
2019-02-19,,"135,900","132,900","142,000"
2019-02-20,,"142,000","142,000","150,520"
2019-02-21,,"150,520","155,030","149,000"
2019-02-22,,,,
2019-02-23,,,,
2019-02-24,,,,
2019-02-25,,"150,000","153,900","150,000"
2019-02-26,,"150,000","147,000","147,000"
2019-02-27,,"147,000","146,000","145,000"
2019-02-28,,"145,000","146,000","145,000"
2019-03-01,,"145,000","147,000","146,990"
2019-03-02,,,,
2019-03-03,,,,
2019-03-04,,"146,990","146,990","146,990"
2019-03-05,,"146,990",,
2019-03-06,,"146,990",,
2019-03-07,,"146,990","141,000","146,800"
2019-03-08,,"146,800","146,400","146,800"
2019-03-09,,,,
2019-03-10,,,,
2019-03-11,,"146,800","142,500","142,500"
2019-03-12,,"142,500","148,500","145,000"
2019-03-13,,"145,000","146,000","144,000"
2019-03-14,,"144,000","144,950","144,900"
2019-03-15,,"144,900","140,800","144,900"
2019-03-16,,,,
2019-03-17,,,,
2019-03-18,,"144,900","140,560","144,850"
2019-03-19,,"144,850","144,690","144,690"
2019-03-20,,,,
