,biat,ref,ouverture,cloture
2019-08-28,,"116,760","117,000","116,700"
2019-08-29,,"116,700","116,700","118,000"
2019-08-30,,"118,000","117,980","118,000"
2019-08-31,,,,
2019-09-01,,,,
2019-09-02,,"118,000","119,800","118,000"
2019-09-03,,"118,000","118,000","118,000"
2019-09-04,,"118,000","118,800","118,000"
2019-09-05,,"118,000","118,000","117,000"
2019-09-06,,"117,000","117,000","116,030"
2019-09-07,,,,
2019-09-08,,,,
2019-09-09,,,,
2019-09-10,,,,
2019-09-11,,"114,000","116,500","114,500"
2019-09-12,,"114,500","114,500","114,100"
2019-09-13,,"114,100","114,200","114,210"
2019-09-14,,,,
2019-09-15,,,,
2019-09-16,,"114,210","110,100","116,000"
2019-09-17,,"116,000","114,500","114,500"
2019-09-18,,"114,500","115,900","115,700"
2019-09-19,,"115,700","113,710","113,100"
2019-09-20,,"113,100","116,000","113,000"
2019-09-21,,,,
2019-09-22,,,,
2019-09-23,,"113,000","115,000","112,000"
2019-09-24,,"112,000","111,200","111,010"
2019-09-25,,"111,010","114,000","111,100"
2019-09-26,,"111,100","112,990","112,020"
2019-09-27,,"112,020","112,100","112,020"
2019-09-28,,,,
2019-09-29,,,,
2019-09-30,,"112,020","112,000","112,500"
2019-10-01,,"112,500","111,000","112,000"
2019-10-02,,"112,000","110,100","110,500"
2019-10-03,,"110,500","111,400","110,700"
2019-10-04,,"110,700","111,500","110,810"
2019-10-05,,,,
2019-10-06,,,,
2019-10-07,,"110,810","110,600","110,100"
2019-10-08,,"110,100","110,100","110,900"
2019-10-09,,"110,900","110,900","110,320"
2019-10-10,,"110,320","110,600","110,650"
2019-10-11,,"110,650","110,650","110,700"
2019-10-12,,,,
2019-10-13,,,,
2019-10-14,,"110,700","112,000","111,490"
2019-10-15,,,,
2019-10-16,,"111,490","111,450","111,600"
2019-10-17,,"111,600","111,600","111,800"
2019-10-18,,"111,800","112,900","110,400"
2019-10-19,,,,
2019-10-20,,,,
2019-10-21,,"110,400","110,100","110,400"
2019-10-22,,"110,400","110,520","110,280"
2019-10-23,,"110,280","110,300","110,500"
2019-10-24,,"110,500","110,500","110,160"
2019-10-25,,"110,160","113,000","110,310"
2019-10-26,,,,
2019-10-27,,,,
2019-10-28,,"110,310","113,000","110,100"
2019-10-29,,"110,100","112,000","110,800"
2019-10-30,,"110,800","110,500","110,000"
2019-10-31,,"110,000","110,050","110,010"
2019-11-01,,"110,010","110,000","112,000"
2019-11-02,,,,
2019-11-03,,,,
2019-11-04,,"112,000","113,000","113,000"
2019-11-05,,"113,000","112,500","113,000"
2019-11-06,,"113,000","113,000","112,500"
2019-11-07,,"112,500","112,950","112,000"
2019-11-08,,"112,000","112,020","111,990"
2019-11-09,,,,
2019-11-10,,,,
2019-11-11,,"111,990","112,000","112,000"
2019-11-12,,"112,000","112,000","112,100"
2019-11-13,,"112,100","112,500","111,000"
2019-11-14,,"111,000","112,000","111,600"
2019-11-15,,"111,600","112,100","111,000"
2019-11-16,,,,
2019-11-17,,,,
2019-11-18,,"111,000","111,000","110,710"
2019-11-19,,"110,710","111,750","110,690"
2019-11-20,,"110,690","111,000","110,010"
2019-11-21,,"110,010","110,010","111,000"
2019-11-22,,"111,000","111,000","111,000"
2019-11-23,,,,
2019-11-24,,,,
2019-11-25,,"111,000","113,000","110,210"
2019-11-26,,"110,210","112,700","110,500"
2019-11-27,,"110,500","110,600","111,000"
2019-11-28,,"111,000","111,000","111,000"
2019-11-29,,"111,000","112,000","111,000"
2019-11-30,,,,
2019-12-01,,,,
2019-12-02,,"111,000","111,000","111,000"
2019-12-03,,"111,000","111,000","111,000"
2019-12-04,,"111,000","112,700","111,010"
2019-12-05,,"111,010","111,500","111,100"
2019-12-06,,"111,100","111,900","111,160"
2019-12-07,,,,
2019-12-08,,,,
2019-12-09,,"111,160","111,170","113,000"
2019-12-10,,"113,000","113,000","111,600"
2019-12-11,,"111,600","112,400","112,000"
2019-12-12,,"112,000","111,750","112,000"
2019-12-13,,"112,000","112,100","112,150"
2019-12-14,,,,
2019-12-15,,,,
2019-12-16,,"112,150","112,500","112,150"
2019-12-17,,"112,150","112,000","112,100"
2019-12-18,,"112,100","112,100","112,100"
2019-12-19,,"112,100","112,100","112,300"
2019-12-20,,"112,300","112,000","112,000"
2019-12-21,,,,
2019-12-22,,,,
2019-12-23,,"112,000","112,010","112,010"
2019-12-24,,"112,010","112,050","112,800"
2019-12-25,,"112,800","112,800","114,950"
2019-12-26,,"114,950","112,600","113,200"
2019-12-27,,"113,200","115,000","113,200"
2019-12-28,,,,
2019-12-29,,,,
2019-12-30,,"113,200","115,000","113,310"
2019-12-31,,"113,310","116,000","114,000"
2020-01-01,,,,
2020-01-02,,"114,000","113,500","112,510"
2020-01-03,,"112,510","112,500","112,020"
2020-01-04,,,,
2020-01-05,,,,
2020-01-06,,"112,020","112,010","111,510"
2020-01-07,,"111,510","112,000","111,110"
2020-01-08,,"111,110","111,150","111,010"
2020-01-09,,"111,010","111,100","111,050"
2020-01-10,,"111,050","111,100","111,050"
2020-01-11,,,,
2020-01-12,,,,
2020-01-13,,"111,050","111,050","111,000"
2020-01-14,,,,
2020-01-15,,"111,000","111,300","111,390"
2020-01-16,,"111,390","112,000","113,000"
2020-01-17,,"113,000","113,500","112,300"
2020-01-18,,,,
2020-01-19,,,,
2020-01-20,,"112,300","112,400","113,650"
2020-01-21,,"113,650","114,000","111,610"
2020-01-22,,"111,610","111,650","113,600"
2020-01-23,,"113,600","113,540","113,500"
2020-01-24,,"113,500","113,500","112,700"
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,"112,700","112,700","112,710"
2020-01-28,,"112,710","112,900","112,900"
2020-01-29,,"112,900","112,780","113,000"
2020-01-30,,"113,000","113,200","113,000"
2020-01-31,,"113,000","112,700","112,520"
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,"112,520","112,850","112,500"
2020-02-04,,"112,500","112,200","112,100"
2020-02-05,,"112,100","112,800","113,000"
2020-02-06,,"113,000","113,000","113,500"
2020-02-07,,"113,500","114,050","115,000"
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,"115,000","114,900","114,000"
2020-02-11,,"114,000","115,000","114,000"
2020-02-12,,"114,000","114,990","114,000"
2020-02-13,,"114,000","114,990","115,890"
2020-02-14,,"115,890","115,900","116,200"
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,"121,000","121,000","120,500"
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
