,TIL,ref,ouverture,cloture
2019-05-08,,"13,240",,
2019-05-09,,"13,240",,
2019-05-10,,"13,240","12,850","12,850"
2019-05-11,,,,
2019-05-12,,,,
2019-05-13,,"12,850","12,550","12,470"
2019-05-14,,"12,470","12,740","12,740"
2019-05-15,,"12,740","12,850","12,870"
2019-05-16,,"12,870","12,490","12,490"
2019-05-17,,"12,490","12,600","12,600"
2019-05-18,,,,
2019-05-19,,,,
2019-05-20,,"12,600","12,880","13,000"
2019-05-21,,"13,000","13,000","13,000"
2019-05-22,,"13,000","12,940","13,250"
2019-05-23,,"13,250","13,250","13,250"
2019-05-24,,"13,250","13,100","13,100"
2019-05-25,,,,
2019-05-26,,,,
2019-05-27,,"13,100","13,250","13,340"
2019-05-28,,"13,340","13,640","13,000"
2019-05-29,,"13,000","13,390","13,390"
2019-05-30,,"13,390","13,260","13,000"
2019-05-31,,"13,000",,
2019-06-01,,,,
2019-06-02,,,,
2019-06-03,,"13,000",,
2019-06-04,,,,
2019-06-05,,,,
2019-06-06,,,,
2019-06-07,,"13,000",,
2019-06-08,,,,
2019-06-09,,,,
2019-06-10,,"13,000",,
2019-06-11,,,,
2019-06-12,,"13,600","13,600","13,600"
2019-06-13,,"13,600","13,650","13,650"
2019-06-14,,"13,650","13,660","13,850"
2019-06-15,,,,
2019-06-16,,,,
2019-06-17,,"13,850","14,070","14,070"
2019-06-18,,"14,070","14,080","14,490"
2019-06-19,,"14,490","14,450","14,450"
2019-06-20,,"14,450","14,880","14,880"
2019-06-21,,"14,880","14,880","14,450"
2019-06-22,,,,
2019-06-23,,,,
2019-06-24,,"14,450","14,700","14,710"
2019-06-25,,"14,710","14,720","14,980"
2019-06-26,,"13,780","14,400","14,400"
2019-06-27,,"14,400","14,400","14,400"
2019-06-28,,"14,400","14,300","14,600"
2019-06-29,,,,
2019-06-30,,,,
2019-07-01,,"14,600","14,610","15,020"
2019-07-02,,"15,020","15,460","15,470"
2019-07-03,,"15,470","15,500","15,500"
2019-07-04,,"15,500","15,500","15,500"
2019-07-05,,"15,500","15,550","15,550"
2019-07-06,,,,
2019-07-07,,,,
2019-07-08,,"15,550","15,500","15,500"
2019-07-09,,"15,500","15,500","15,040"
2019-07-10,,"15,040","15,200","15,020"
2019-07-11,,"15,020","15,390","14,570"
2019-07-12,,"14,570","14,550","14,550"
2019-07-13,,,,
2019-07-14,,,,
2019-07-15,,"14,550",,
2019-07-16,,"14,550","14,120","14,120"
2019-07-17,,"14,120","13,700","13,700"
2019-07-18,,"13,700",,
2019-07-19,,"13,700","13,410","13,400"
2019-07-20,,,,
2019-07-21,,,,
2019-07-22,,"13,400",,
2019-07-23,,"13,400","13,700","13,400"
2019-07-24,,,,
2019-07-25,,,,
2019-07-26,,"13,400","13,400","13,550"
2019-07-27,,,,
2019-07-28,,,,
2019-07-29,,,,
2019-07-30,,"13,550","13,550","13,550"
2019-07-31,,"13,550",,
2019-08-01,,"13,550",,
2019-08-02,,"13,550",,
2019-08-03,,,,
2019-08-04,,,,
2019-08-05,,"13,550",,
2019-08-06,,"13,550",,
2019-08-07,,"13,550",,
2019-08-08,,"13,550",,
2019-08-09,,"13,550",,
2019-08-10,,,,
2019-08-11,,,,
2019-08-12,,,,
2019-08-13,,,,
2019-08-14,,"13,550",,
2019-08-15,,"13,550","13,290","13,290"
2019-08-16,,"13,290","13,500","13,500"
2019-08-17,,,,
2019-08-18,,,,
2019-08-19,,"13,500","13,900","13,900"
2019-08-20,,"13,900",,
2019-08-21,,"13,900","13,500","13,500"
2019-08-22,,"13,500","13,500","13,600"
2019-08-23,,"13,600",,
2019-08-24,,,,
2019-08-25,,,,
2019-08-26,,"13,600",,
2019-08-27,,"13,600",,
2019-08-28,,"13,600",,
2019-08-29,,"13,600","13,200","12,810"
2019-08-30,,"12,810",,
2019-08-31,,,,
2019-09-01,,,,
2019-09-02,,"12,810","12,510","12,880"
2019-09-03,,"12,880",,
2019-09-04,,"12,880",,
