,ATL,ref,ouverture,cloture
2019-11-26,,"1,450","1,470","1,450"
2019-11-27,,"1,450","1,470","1,460"
2019-11-28,,"1,460","1,470","1,440"
2019-11-29,,"1,440","1,470","1,510"
2019-11-30,,,,
2019-12-01,,,,
2019-12-02,,"1,510","1,550","1,590"
2019-12-03,,"1,590","1,630","1,670"
2019-12-04,,"1,680","1,750","1,750"
2019-12-05,,"1,750","1,790","1,840"
2019-12-06,,"1,840","1,900","1,800"
2019-12-07,,,,
2019-12-08,,,,
2019-12-09,,"1,800","1,850","1,850"
2019-12-10,,"1,850","1,850","1,800"
2019-12-11,,"1,800","1,780","1,790"
2019-12-12,,"1,790","1,800","1,750"
2019-12-13,,"1,750","1,750","1,790"
2019-12-14,,,,
2019-12-15,,,,
2019-12-16,,"1,790","1,790","1,840"
2019-12-17,,"1,840","1,850","1,850"
2019-12-18,,"1,850","1,850","1,960"
2019-12-19,,"1,960","1,980","1,980"
2019-12-20,,"1,980","2,000","1,980"
2019-12-21,,,,
2019-12-22,,,,
2019-12-23,,"1,980","1,970","1,940"
2019-12-24,,"1,940","1,920","1,890"
2019-12-25,,"1,890","1,880","1,840"
2019-12-26,,"1,840","1,810","1,790"
2019-12-27,,"1,790","1,740","1,710"
2019-12-28,,,,
2019-12-29,,,,
2019-12-30,,"1,710","1,700","1,700"
2019-12-31,,"1,700","1,670","1,700"
2020-01-01,,,,
2020-01-02,,"1,700","1,690","1,650"
2020-01-03,,"1,650","1,610","1,650"
2020-01-04,,,,
2020-01-05,,,,
2020-01-06,,"1,650","1,640","1,650"
2020-01-07,,"1,650","1,610","1,610"
2020-01-08,,"1,610","1,580","1,570"
2020-01-09,,"1,570","1,560","1,560"
2020-01-10,,"1,560","1,500","1,610"
2020-01-11,,,,
2020-01-12,,,,
2020-01-13,,"1,610","1,610","1,600"
2020-01-14,,,,
2020-01-15,,"1,600","1,610","1,600"
2020-01-16,,"1,600","1,610","1,570"
2020-01-17,,"1,570","1,530","1,600"
2020-01-18,,,,
2020-01-19,,,,
2020-01-20,,"1,600","1,560","1,560"
2020-01-21,,"1,560","1,520","1,560"
2020-01-22,,"1,560","1,570","1,600"
2020-01-23,,"1,600","1,610","1,610"
2020-01-24,,"1,610","1,580","1,610"
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,"1,610","1,610","1,650"
2020-01-28,,"1,650","1,690","1,680"
2020-01-29,,"1,680","1,650","1,610"
2020-01-30,,"1,610","1,580","1,590"
2020-01-31,,"1,590","1,590","1,550"
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,"1,550","1,580","1,560"
2020-02-04,,"1,560","1,560","1,560"
2020-02-05,,"1,560","1,560","1,600"
2020-02-06,,"1,600","1,630","1,640"
2020-02-07,,"1,640","1,670","1,720"
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,"1,720","1,750","1,750"
2020-02-11,,"1,750","1,790","1,750"
2020-02-12,,"1,750","1,780","1,700"
2020-02-13,,"1,700","1,690","1,670"
2020-02-14,,"1,670","1,670","1,700"
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,"1,790","1,740","1,790"
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,"1,700","1,660","1,650"
2020-03-06,,"1,650","1,720","1,720"
2020-03-07,,,,
2020-03-08,,,,
2020-03-09,,"1,720","1,720","1,720"
2020-03-10,,"1,720","1,650","1,650"
