,ESSOUKNA,ref,ouverture,cloture
2019-06-03,,"1,900","1,940","1,940"
2019-06-04,,,,
2019-06-05,,,,
2019-06-06,,,,
2019-06-07,,"1,940","1,940","1,890"
2019-06-08,,,,
2019-06-09,,,,
2019-06-10,,"1,890","1,940","1,940"
2019-06-11,,,,
2019-06-12,,"1,940","1,890","1,840"
2019-06-13,,"1,840","1,820","1,830"
2019-06-14,,"1,830","1,860","1,880"
2019-06-15,,,,
2019-06-16,,,,
2019-06-17,,"1,880","1,830","1,880"
2019-06-18,,"1,880","1,890","1,940"
2019-06-19,,"1,940","1,870","1,870"
2019-06-20,,"1,800","1,850","1,850"
2019-06-21,,"1,850","1,900","1,880"
2019-06-22,,,,
2019-06-23,,,,
2019-06-24,,"1,880","1,930","1,940"
2019-06-25,,"1,940","1,940","1,970"
2019-06-26,,"1,970","1,970","2,020"
2019-06-27,,"2,020","2,050","2,110"
2019-06-28,,"2,110","2,170","2,190"
2019-06-29,,,,
2019-06-30,,,,
2019-07-01,,"2,190","2,190","2,190"
2019-07-02,,"2,190","2,190","2,250"
2019-07-03,,"2,250","2,250","2,250"
2019-07-04,,"2,250","2,250","2,280"
2019-07-05,,"2,280","2,280","2,320"
2019-07-06,,,,
2019-07-07,,,,
2019-07-08,,"2,320","2,380","2,430"
2019-07-09,,"2,430","2,370","2,430"
2019-07-10,,"2,430","2,430","2,430"
2019-07-11,,"2,430","2,360","2,360"
2019-07-12,,"2,360","2,300","2,300"
2019-07-13,,,,
2019-07-14,,,,
2019-07-15,,"2,300","2,360","2,360"
2019-07-16,,"2,360","2,360","2,360"
2019-07-17,,"2,360","2,290","2,290"
2019-07-18,,"2,290","2,290","2,330"
2019-07-19,,"2,330","2,360","2,360"
2019-07-20,,,,
2019-07-21,,,,
2019-07-22,,"2,360","2,360","2,360"
2019-07-23,,"2,360","2,360","2,360"
2019-07-24,,,,
2019-07-25,,,,
2019-07-26,,"2,320","2,360","2,360"
2019-07-27,,,,
2019-07-28,,,,
