,TPR,ref,ouverture,cloture
2019-06-13,,"4,860","4,930","4,900"
2019-06-14,,"4,900","4,920","4,940"
2019-06-15,,,,
2019-06-16,,,,
2019-06-17,,"4,940","4,900","4,900"
2019-06-18,,"4,900","4,860","4,900"
2019-06-19,,"4,900","4,900","4,940"
2019-06-20,,"4,940","4,900","4,900"
2019-06-21,,"4,900","4,930","4,900"
2019-06-22,,,,
2019-06-23,,,,
2019-06-24,,"4,900","4,900","4,900"
2019-06-25,,"4,900","4,930","4,890"
2019-06-26,,"4,890","4,900","4,950"
2019-06-27,,"4,950","4,950","4,850"
2019-06-28,,"4,850","4,940","4,950"
2019-06-29,,,,
2019-06-30,,,,
2019-07-01,,"4,950","4,980","4,950"
2019-07-02,,"4,950","4,950","4,950"
2019-07-03,,"4,950","4,950","4,900"
2019-07-04,,"4,900","4,970","4,970"
2019-07-05,,"4,970","4,960","4,960"
2019-07-06,,,,
2019-07-07,,,,
2019-07-08,,"4,960","4,900","4,900"
2019-07-09,,"4,900","4,900","4,900"
2019-07-10,,"4,900","4,950","4,960"
2019-07-11,,"4,960","4,960","4,960"
2019-07-12,,"4,960","5,000","4,950"
2019-07-13,,,,
2019-07-14,,,,
2019-07-15,,"4,950","4,960","5,000"
2019-07-16,,"5,000","5,040","5,000"
2019-07-17,,"5,000","5,000","5,000"
2019-07-18,,"5,000",,
2019-07-19,,"5,000","5,000","5,000"
2019-07-20,,,,
2019-07-21,,,,
2019-07-22,,"5,000","5,000","5,040"
2019-07-23,,"5,040","5,040","5,040"
2019-07-24,,,,
2019-07-25,,,,
2019-07-26,,"5,000","5,070","5,070"
2019-07-27,,,,
2019-07-28,,,,
2019-07-29,,,,
2019-07-30,,"5,070","5,060","5,060"
2019-07-31,,"5,060","5,040","5,040"
2019-08-01,,"5,040","5,040","5,000"
2019-08-02,,"5,000","5,000","5,000"
2019-08-03,,,,
2019-08-04,,,,
2019-08-05,,"5,000","5,040","5,000"
2019-08-06,,"5,000","4,900","4,980"
2019-08-07,,"4,980","4,980","5,030"
2019-08-08,,"5,030","5,030","4,990"
2019-08-09,,"4,990","4,950","5,030"
2019-08-10,,,,
2019-08-11,,,,
2019-08-12,,,,
2019-08-13,,,,
2019-08-14,,"5,030","5,030","5,020"
2019-08-15,,"4,780","4,900","4,900"
2019-08-16,,"4,900","4,850","4,820"
2019-08-17,,,,
2019-08-18,,,,
2019-08-19,,"4,820","4,780","4,850"
2019-08-20,,"4,850","4,800","4,800"
2019-08-21,,"4,800",,
2019-08-22,,"4,800","4,740","4,800"
2019-08-23,,"4,800","4,850","4,900"
2019-08-24,,,,
2019-08-25,,,,
2019-08-26,,"4,900","4,900","4,950"
2019-08-27,,"4,950","4,860","4,860"
2019-08-28,,"4,860","4,980","4,980"
2019-08-29,,"4,980","4,850","4,900"
2019-08-30,,"4,900","4,900","4,930"
2019-08-31,,,,
2019-09-01,,,,
2019-09-02,,"4,930","4,800","4,900"
2019-09-03,,"4,900","4,800","4,860"
2019-09-04,,"4,860","4,850","4,870"
2019-09-05,,"4,870","4,870","4,860"
2019-09-06,,"4,860","4,880","4,860"
2019-09-07,,,,
2019-09-08,,,,
2019-09-09,,,,
2019-09-10,,,,
2019-09-11,,"4,870","4,920","4,890"
2019-09-12,,"4,890","4,890","4,870"
2019-09-13,,"4,870","4,880","4,880"
2019-09-14,,,,
2019-09-15,,,,
2019-09-16,,"4,880","4,790","4,820"
2019-09-17,,"4,820","4,890","4,890"
2019-09-18,,"4,890","4,850","4,880"
2019-09-19,,"4,880","4,900","4,900"
2019-09-20,,"4,900","4,800","4,890"
2019-09-21,,,,
2019-09-22,,,,
2019-09-23,,"4,890","4,800","4,810"
2019-09-24,,"4,810","4,800","4,790"
2019-09-25,,"4,790","4,790","4,790"
2019-09-26,,"4,790","4,760","4,750"
2019-09-27,,"4,750","4,890","4,880"
2019-09-28,,,,
2019-09-29,,,,
2019-09-30,,"4,880","4,920","4,850"
2019-10-01,,"4,850","4,880","4,800"
2019-10-02,,"4,800","4,710","4,800"
2019-10-03,,"4,800","4,800","4,840"
2019-10-04,,"4,840","4,840","4,840"
2019-10-05,,,,
2019-10-06,,,,
2019-10-07,,"4,840","4,840","4,890"
2019-10-08,,"4,890","4,890","4,890"
2019-10-09,,"4,890","4,890","4,880"
2019-10-10,,"4,880","4,880","4,840"
2019-10-11,,"4,840","4,840","4,830"
2019-10-12,,,,
2019-10-13,,,,
2019-10-14,,"4,830","4,770","4,820"
2019-10-15,,,,
2019-10-16,,"4,820","4,850","4,800"
2019-10-17,,"4,800","4,790","4,840"
2019-10-18,,"4,840","4,780","4,750"
2019-10-19,,,,
2019-10-20,,,,
2019-10-21,,"4,750","4,830","4,820"
2019-10-22,,"4,820","4,820","4,800"
2019-10-23,,"4,800","4,760","4,750"
2019-10-24,,"4,750","4,800","4,750"
2019-10-25,,"4,750","4,800","4,750"
2019-10-26,,,,
2019-10-27,,,,
2019-10-28,,"4,750","4,800","4,700"
2019-10-29,,"4,700","4,720","4,680"
2019-10-30,,"4,680","4,660","4,600"
2019-10-31,,"4,600","4,600","4,680"
2019-11-01,,"4,680","4,680","4,680"
2019-11-02,,,,
2019-11-03,,,,
2019-11-04,,"4,680","4,680","4,600"
2019-11-05,,"4,600","4,580","4,600"
2019-11-06,,"4,600","4,680","4,650"
2019-11-07,,"4,650","4,650","4,630"
2019-11-08,,"4,630","4,640","4,560"
2019-11-09,,,,
2019-11-10,,,,
2019-11-11,,"4,560","4,650","4,650"
2019-11-12,,"4,650","4,650","4,650"
2019-11-13,,"4,650","4,650","4,640"
2019-11-14,,"4,640","4,650","4,650"
2019-11-15,,"4,650","4,650","4,610"
2019-11-16,,,,
2019-11-17,,,,
2019-11-18,,"4,610","4,610","4,610"
2019-11-19,,"4,610","4,610","4,610"
2019-11-20,,"4,610","4,700","4,590"
2019-11-21,,"4,590","4,700","4,560"
2019-11-22,,"4,560","4,560","4,600"
2019-11-23,,,,
2019-11-24,,,,
2019-11-25,,"4,600","4,690","4,550"
2019-11-26,,"4,550","4,550","4,600"
2019-11-27,,"4,600","4,600","4,600"
2019-11-28,,"4,600","4,590","4,580"
2019-11-29,,"4,580","4,600","4,590"
2019-11-30,,,,
2019-12-01,,,,
2019-12-02,,"4,590","4,700","4,600"
2019-12-03,,"4,600","4,600","4,550"
2019-12-04,,"4,550","4,600","4,560"
2019-12-05,,"4,560","4,570","4,590"
2019-12-06,,"4,590","4,600","4,540"
2019-12-07,,,,
2019-12-08,,,,
2019-12-09,,"4,540","4,590","4,540"
2019-12-10,,"4,540","4,580","4,500"
2019-12-11,,"4,500","4,560","4,500"
2019-12-12,,"4,500","4,480","4,480"
2019-12-13,,"4,480","4,500","4,500"
2019-12-14,,,,
2019-12-15,,,,
2019-12-16,,"4,500","4,540","4,540"
2019-12-17,,"4,540","4,540","4,570"
2019-12-18,,"4,570","4,580","4,580"
2019-12-19,,"4,580","4,580","4,500"
2019-12-20,,"4,500","4,500","4,500"
2019-12-21,,,,
2019-12-22,,,,
2019-12-23,,"4,500","4,500","4,500"
2019-12-24,,"4,500","4,550","4,550"
2019-12-25,,"4,550","4,560","4,680"
2019-12-26,,"4,680","4,680","4,600"
2019-12-27,,"4,600","4,730","4,730"
2019-12-28,,,,
2019-12-29,,,,
2019-12-30,,"4,730","4,770","4,880"
2019-12-31,,"4,880","4,880","4,740"
2020-01-01,,,,
2020-01-02,,"4,740","4,740","4,600"
2020-01-03,,"4,600","4,600","4,530"
2020-01-04,,,,
2020-01-05,,,,
2020-01-06,,"4,530","4,530","4,580"
2020-01-07,,"4,580","4,650","4,450"
2020-01-08,,"4,450","4,450","4,450"
2020-01-09,,"4,450","4,580","4,440"
2020-01-10,,"4,440","4,380","4,510"
2020-01-11,,,,
2020-01-12,,,,
2020-01-13,,"4,510","4,500","4,500"
2020-01-14,,,,
2020-01-15,,"4,500","4,450","4,580"
2020-01-16,,"4,580","4,600","4,600"
2020-01-17,,"4,600","4,750","4,440"
2020-01-18,,,,
2020-01-19,,,,
2020-01-20,,"4,440","4,630","4,620"
2020-01-21,,"4,620","4,610","4,600"
2020-01-22,,"4,600","4,480","4,500"
2020-01-23,,"4,500","4,530","4,550"
2020-01-24,,"4,550","4,450","4,580"
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,"4,580","4,580","4,600"
2020-01-28,,"4,600","4,520","4,580"
2020-01-29,,"4,580","4,580","4,500"
2020-01-30,,"4,500","4,580","4,480"
2020-01-31,,"4,480","4,500","4,500"
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,"4,500","4,500","4,490"
2020-02-04,,"4,490","4,490","4,370"
2020-02-05,,"4,370","4,470","4,500"
2020-02-06,,"4,500","4,550","4,400"
2020-02-07,,"4,400","4,400","4,400"
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,"4,400","4,370","4,450"
2020-02-11,,"4,450","4,450","4,500"
2020-02-12,,"4,500","4,500","4,500"
2020-02-13,,"4,500","4,500","4,500"
2020-02-14,,"4,500","4,500","4,480"
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,"4,500","4,400","4,400"
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
